DAY;PARTICIPANT;PHASE OF THE DAY;ENVIRONMENT;LIGHT;SCENARIO;SKY CONDITION;TIME AND DATE;mEDI;? ALPHA AVG.;? BETA LOW AVG.;? GAMMA AVG.
1;1;14.00;RE;DL;CONT;Partly Cloudy, no grade, more Sun;Day;1727;7,3277;5,4944;4,6566
1;1;14.01;RE;DL;EXP;Partly Cloudy, no grade, more Sun;Day;1725;7,0899;4,9409;3,7369
1;1;14.03;RE;DL;CONT;Partly Cloudy, no grade, more Sun;Day;1710;6,8566;4,9624;4,3575
1;1;14.04;RE;DL;ACT;Partly Cloudy, no grade, more Sun;Day;1686;6,9813;5,3402;5,5495
1;1;14.07;RE;DL+EL;CONT;Partly Cloudy, no grade, more Sun;Day;1572;7,4090;6,0224;3,6280
1;1;14.08;RE;DL+EL;EXP;Partly Cloudy, no grade, more Sun;Day;1691;7,5840;5,4967;4,1803
1;1;14.10;RE;DL+EL;CONT;Partly Cloudy, no grade, more Sun;Day;1738;6,8864;5,3439;3,6307
1;1;14.12;RE;DL+EL;ACT;Partly Cloudy, no grade, more Sun;Day;1585;7,6001;6,2171;6,2728
1;1;14.20;VR;DL;CONT;CLEAR SKY;DAY;661;9,6635;7,5728;4,7390
1;1;14.21;VR;DL;EXP;CLEAR SKY;DAY;657;7,8326;5,8896;5,9870
1;1;14.23;VR;DL;CONT;CLEAR SKY;DAY;691;7,6043;5,7070;5,4046
1;1;14.25;VR;DL;ACT;CLEAR SKY;DAY;661;9,1033;8,5814;10,2383
1;1;14.27;VR;DL+EL;CONT;CLEAR SKY;DAY;939;9,1065;7,2522;5,9687
1;1;14.29;VR;DL+EL;EXP;CLEAR SKY;DAY;879;7,7342;5,9195;6,6017
1;1;14.31;VR;DL+EL;CONT;CLEAR SKY;DAY;903;10,6760;7,9957;7,1650
1;1;14.33;VR;DL+EL;ACT;CLEAR SKY;DAY;859;9,6155;10,1878;11,8625
1;2;16.00;RE;DL;CONT;Partly Cloudy, no grade, some Sun;Day;1306;8,6818;7,4393;13,1408
1;2;16.01;RE;DL;EXP;Partly Cloudy, no grade, some Sun;Day;1548;10,1505;8,4518;11,0121
1;2;16.03;RE;DL;CONT;Partly Cloudy, no grade, some Sun;Day;1632;7,1968;5,9155;9,5102
1;2;16.05;RE;DL;ACT;Partly Cloudy, no grade, some Sun;Day;1630;10,9778;9,5815;14,2792
1;2;16.07;RE;DL+EL;CONT;Partly Cloudy, no grade, some Sun;Day;1546;9,0290;7,8052;11,2603
1;2;16.08;RE;DL+EL;EXP;Partly Cloudy, no grade, some Sun;Day;1631;7,6157;7,6157;6,5761
1;2;16.10;RE;DL+EL;CONT;Partly Cloudy, no grade, some Sun;Day;1627;7,6729;7,2843;9,4992
1;2;16.13;RE;DL+EL;ACT;Partly Cloudy, no grade, some Sun;Day;1776;11,5362;10,5329;14,8281
1;2;16.21;VR;DL;CONT;HAZY;DAY;313;10,8723;9,1302;13,2351
